Phytoplankton Monitoring Programme results,,,,,,,,,,,,,,,
Sample number,Production area,Bed ID,Local authority,"Grid reference

Note 1             ",Sampling point,Date sample collected,"Alexandrium spp. 
cells L-1
(PSP)","Dinophysiaceae 
cells L-1
(DSP)","Prorocentrum lima 
cells L-1
(DSP)","Pseudo-nitzschia spp. 
cells L-1
(ASP) ","Ligulodinium polyedrum 
cells L-1
(Yessotoxin)","Protoceratium reticulatum 
cells L-1
(Yessotoxin) ","Prorocentrum cordatum 
cells L-1
(Venerupin) ",,
1/21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,1/4/2021,ND,ND,ND,ND,ND,ND,ND,,
2/21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,1/4/2021,ND,ND,ND,ND,ND,ND,ND,,
3/21,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,1/5/2021,ND,ND,ND,400,ND,ND,ND,,
4/21,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,1/5/2021,ND,ND,ND,ND,ND,ND,ND,,
5/21,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,1/6/2021,ND,ND,ND,ND,ND,ND,ND,,
6/21,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,1/11/2021,ND,ND,ND,ND,ND,ND,ND,,
7/21,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,1/11/2021,ND,ND,ND,ND,ND,ND,ND,,
9/21,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,1/11/2021,ND,ND,ND,ND,ND,ND,ND,,
10/21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,1/11/2021,ND,ND,ND,ND,ND,ND,ND,,
11/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,1/11/2021,ND,ND,ND,ND,ND,ND,ND,,
12/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,1/11/2021,ND,ND,ND,ND,ND,ND,ND,,
13/21,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,1/10/2021,ND,ND,ND,ND,ND,ND,ND,,
14/21,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,1/11/2021,ND,ND,ND,ND,ND,ND,ND,,
15/21,Poole,B54CI,"Bournemouth, Poole and Christchurch Council",SZ01818871,West Brownsea 1,1/12/2021,ND,ND,ND,ND,ND,ND,ND,,
16/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,1/12/2021,"Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment",,
17/21,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,1/12/2021,ND,ND,ND,200,,ND,ND,,
18/21,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,1/12/2021,"Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment",,
19/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,1/12/2021,ND,ND,ND,ND,ND,ND,ND,,
20/21,The Wash,B04AP,Kings Lynn & W Norfolk BC,TF65963701,Stubborn Sand,1/12/2021,ND,ND,ND,ND,ND,ND,ND,,
21/21,Roach,B73AF,London PHA,TQ94909207,Paglesham,1/12/2021,ND,ND,ND,ND,ND,ND,ND,,
22/21,Langstone Harbour,B019I,Portsmouth PHA,SU70560339,Stoke Common Lake,1/12/2021,ND,ND,ND,200,ND,ND,ND,,
23/21,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,1/12/2021,ND,ND,ND,ND,ND,ND,ND,,
24/21,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,1/12/2021,ND,ND,ND,ND,ND,ND,ND,,
25/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,1/11/2021,ND,ND,ND,ND,ND,ND,ND,,
26/21,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,1/11/2021,ND,ND,ND,ND,ND,ND,ND,,
27/21,The Wash,B003V,Boston BC,TF44234098,Toft,1/13/2021,ND,ND,ND,ND,ND,ND,ND,,
28/21,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,1/13/2021,ND,ND,ND,ND,ND,ND,ND,,
29/21,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,1/13/2021,ND,ND,ND,ND,ND,ND,ND,,
30/21,Portsmouth Harbour,B020H,Portsmouth PHA,SU62850544,Paulsgrove,1/13/2021,ND,ND,ND,ND,ND,ND,ND,,
31/21,Dart,B028P,South Hams DC,SX87945350,Long Wood South,1/13/2021,ND,ND,ND,ND,ND,ND,ND,,
32/21,Start Bay,B087I,South Hams DC,SX84724671,Off Strete,1/13/2021,ND,ND,ND,ND,ND,ND,ND,,
33/21,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,1/14/2021,"Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment",,
34/21,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,1/18/2021,ND,40,ND,ND,ND,ND,ND,,
35/21,Swale,B076P,Swale BC,TR01316497,The Causeway,1/18/2021,ND,ND,ND,ND,ND,ND,ND,,
36/21,Burry Inlet,B038Y,Carmarthenshire CC,SS50209860,Machynys,1/19/2021,ND,ND,ND,ND,ND,ND,ND,,
37/21,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,1/19/2021,"Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment",,
38/21,Fal,B033E,Cornwall PHA,SW85134212,Grimes Bar,1/19/2021,ND,ND,ND,ND,ND,ND,ND,,
39/21,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,1/19/2021,ND,ND,ND,ND,ND,ND,ND,,
40/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,1/19/2021,ND,ND,ND,ND,ND,ND,ND,,
41/21,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,1/19/2021,ND,ND,ND,800,ND,ND,ND,,
43/21,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,1/20/2021,"Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment",,
44/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,1/21/2021,ND,ND,ND,ND,ND,ND,ND,,
45/21,Percuil,B033R,Cornwall PHA,SW85853369,Percuil,1/21/2021,ND,ND,ND,ND,ND,ND,ND,,
46/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,1/21/2021,ND,ND,ND,ND,ND,ND,ND,,
47/21,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,1/25/2021,ND,ND,ND,ND,ND,ND,ND,,
48/21,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,1/25/2021,ND,ND,ND,ND,ND,ND,ND,,
49/21,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,1/26/2021,ND,ND,ND,ND,ND,ND,ND,,
50/21,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,1/26/2021,ND,ND,ND,ND,ND,ND,ND,,
51/21,Conwy,B044V,Conwy CBC,SH76317972,Conwy West,1/26/2021,ND,ND,ND,ND,ND,ND,ND,,
52/21,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,1/27/2021,ND,ND,ND,600,ND,ND,ND,,
53/21,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,1/27/2021,ND,ND,ND,ND,ND,ND,ND,,
55/21,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,2/1/2021,ND,ND,ND,ND,ND,ND,ND,,
56/21,The Thames,B16BS,London PHA,TQ88148489,West of Southend Pier,2/1/2021,ND,ND,ND,ND,ND,ND,ND,,
57/21,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,1/31/2021,ND,ND,ND,ND,ND,ND,ND,,
58/21,The Wash,B003V,Boston BC,TF44234098,Toft,2/1/2021,ND,ND,ND,ND,ND,ND,ND,,
59/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,2/2/2021,ND,ND,ND,ND,ND,ND,ND,,
60/21,The Wash,B04AP,Kings Lynn & W Norfolk BC,TF65963701,Stubborn Sand,2/1/2021,ND,ND,ND,ND,ND,ND,ND,,
61/21,Poole,B54CI,"Bournemouth, Poole and Christchurch Council",SZ01818871,West Brownsea 1,2/9/2021,ND,ND,ND,ND,ND,ND,ND,,
62/21,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,2/9/2021,ND,ND,ND,ND,ND,ND,ND,,
63/21,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,2/9/2021,ND,ND,ND,ND,ND,ND,ND,,
64/21,Dart,B028B,South Hams DC,SX87415599,Waddeton,2/9/2021,ND,ND,ND,ND,ND,ND,ND,,
65/21,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,2/8/2021,ND,ND,ND,ND,ND,ND,ND,,
66/21,Conwy,B044V,Conwy CBC,SH76317972,Conwy West,2/9/2021,ND,ND,ND,ND,ND,ND,ND,,
67/21,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,2/9/2021,ND,ND,ND,ND,ND,ND,ND,,
68/21,Dart,B028P,South Hams DC,SX87945350,Long Wood South,2/10/2021,ND,ND,ND,ND,ND,ND,ND,,
69/21,Bigbury upon Avon,B030J,South Hams DC,SX67114467,South Hexdown North,2/10/2021,ND,ND,100,ND,ND,ND,ND,,
70/21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,2/10/2021,ND,ND,ND,ND,ND,ND,ND,,
71/21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,2/10/2021,ND,ND,ND,ND,ND,ND,ND,,
72/21,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,2/10/2021,ND,ND,ND,ND,ND,ND,ND,,
73/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2/10/2021,"Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment",,
74/21,Roach,B73AF,London PHA,TQ94909207,Paglesham,2/11/2021,ND,ND,ND,ND,ND,ND,ND,,
75/21,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,2/11/2021,ND,ND,ND,ND,ND,ND,ND,,
76/21,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,2/11/2021,ND,ND,ND,800,ND,ND,ND,,
78/21,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,2/15/2021,ND,ND,ND,80,ND,ND,ND,,
79/21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,2/15/2021,ND,ND,ND,200,ND,ND,ND,,
80/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,2/15/2021,ND,ND,ND,80,ND,ND,ND,,
81/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2/15/2021,ND,ND,ND,ND,ND,ND,ND,,
82/21,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,2/15/2021,ND,ND,ND,ND,ND,ND,ND,,
83/21,Burry Inlet,B038Y,Carmarthenshire CC,SS50209860,Machynys,2/16/2021,ND,ND,ND,ND,ND,ND,ND,,
84/21,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,2/16/2021,ND,ND,ND,ND,ND,ND,ND,,
85/21,Fal,B033E,Cornwall PHA,SW85134212,Grimes Bar,2/16/2021,ND,ND,ND,ND,ND,ND,ND,,
86/21,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,2/16/2021,ND,ND,ND,800,ND,ND,ND,,
87/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2/16/2021,ND,ND,ND,ND,ND,ND,ND,,
88/21,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,2/15/2021,ND,ND,ND,ND,ND,ND,ND,,
89/21,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,2/16/2021,ND,ND,ND,ND,ND,ND,ND,,
90/21,Langstone Harbour,B019I,Portsmouth PHA,SU70560339,Stoke Common Lake,2/16/2021,ND,ND,ND,1000,ND,ND,ND,,
91/21,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,2/16/2021,ND,ND,ND,ND,ND,ND,ND,,
92/21,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,2/17/2021,ND,ND,ND,400,ND,ND,ND,,
93/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2/17/2021,200,ND,ND,ND,ND,ND,ND,,
94/21,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,2/16/2021,ND,ND,ND,ND,ND,ND,ND,,
95/21,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,2/17/2021,ND,ND,ND,ND,ND,ND,ND,,
96/21,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,2/17/2021,"Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment",,
97/21,Portsmouth Harbour,B020H,Portsmouth PHA,SU62850544,Paulsgrove,2/17/2021,ND,ND,ND,ND,ND,ND,ND,,
98/21,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,2/18/2021,ND,ND,ND,1000,ND,ND,ND,,
99/21,Swale,B076P,Swale BC,TR01316497,The Causeway,2/18/2021,ND,ND,ND,ND,ND,ND,ND,,
101/21,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,2/22/2021,ND,ND,ND,160,ND,ND,ND,,
102/21,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,2/23/2021,ND,ND,ND,ND,ND,ND,ND,,
103/21,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,2/23/2021,ND,ND,ND,ND,ND,ND,ND,,
104/21,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,2/22/2021,ND,ND,ND,320,ND,ND,ND,,
105/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,2/22/2021,ND,ND,ND,80,ND,ND,ND,,
106/21,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,2/24/2021,ND,ND,ND,ND,ND,ND,ND,,
107/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2/25/2021,ND,ND,ND,ND,ND,ND,ND,,
108/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,2/25/2021,ND,ND,ND,ND,ND,ND,ND,,
109/21,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,2/25/2021,ND,ND,ND,560,ND,ND,ND,,
110/21,The Thames,B16BS,London PHA,TQ88148489,West of Southend Pier,3/1/2021,ND,ND,ND,800,ND,ND,ND,,
111/21,Bigbury upon Avon,B030J,South Hams DC,SX67114467,South Hexdown North,3/1/2021,ND,ND,ND,ND,ND,ND,ND,,
112/21,The Wash,B003V,Boston BC,TF44234098,Toft,3/1/2021,ND,ND,ND,ND,ND,ND,ND,,
113/21,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,3/2/2021,ND,ND,ND,ND,ND,ND,ND,,
114/21,The Wash,B04AP,Kings Lynn & W Norfolk BC,TF65963701,Stubborn Sand,3/1/2021,ND,ND,ND,600,ND,ND,ND,,
115/21,Portsmouth Harbour,B020H,Portsmouth PHA,SU62850544,Paulsgrove,3/2/2021,ND,ND,ND,ND,ND,ND,ND,,
116/21,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,3/3/2021,ND,ND,ND,ND,ND,ND,ND,,
117/21,Langstone Harbour,B019I,Portsmouth PHA,SU70560339,Stoke Common Lake,3/3/2021,ND,ND,ND,ND,ND,ND,ND,,
118/21,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,3/4/2021,ND,ND,ND,3600,ND,ND,ND,,
120/21,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,3/9/2021,ND,ND,ND,ND,ND,ND,ND,,
121/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,3/9/2021,ND,ND,ND,ND,ND,ND,ND,,
122/21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,3/9/2021,ND,ND,ND,ND,ND,ND,ND,,
123/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,3/9/2021,40,ND,ND,1160,ND,ND,ND,,
124/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,3/9/2021,ND,ND,ND,2400,ND,ND,ND,,
125/21,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,3/9/2021,"Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment",,
126/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,3/9/2021,ND,ND,ND,ND,ND,ND,ND,,
127/21,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,3/9/2021,ND,ND,ND,ND,ND,ND,ND,,
128/21,Start Bay,B087I,South Hams DC,SX84724671,Off Strete,3/9/2021,ND,ND,ND,ND,ND,ND,ND,,
129/21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,3/9/2021,ND,ND,ND,ND,ND,ND,ND,,
130/21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,3/9/2021,ND,ND,ND,ND,ND,ND,ND,,
131/21,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,3/9/2021,ND,ND,ND,ND,ND,ND,ND,,
132/21,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,3/8/2021,ND,ND,ND,200,ND,ND,ND,,
133/21,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,3/9/2021,ND,ND,ND,ND,ND,ND,ND,,
134/21,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,3/10/2021,ND,ND,ND,ND,ND,ND,ND,,
135/21,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,3/10/2021,ND,ND,ND,ND,ND,ND,ND,,
137/21,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,3/12/2021,ND,ND,ND,ND,ND,ND,ND,,
138/21,Poole,B54CI,"Bournemouth, Poole and Christchurch Council",SZ01818871,West Brownsea 1,3/15/2021,ND,ND,ND,ND,ND,ND,ND,,
139/21,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,3/15/2021,ND,ND,ND,ND,ND,ND,ND,,
140/21,Roach,B73AF,London PHA,TQ94909207,Paglesham,3/15/2021,ND,ND,ND,ND,ND,ND,ND,,
141/21,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,3/14/2021,ND,ND,ND,2700,ND,ND,ND,,
142/21,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,3/15/2021,"Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment",,
143/21,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,3/15/2021,ND,ND,ND,ND,ND,ND,ND,,
144/21,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,3/15/2021,"Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment",,
145/21,Burry Inlet,B038Y,Carmarthenshire CC,SS50209860,Machynys,3/16/2021,ND,ND,ND,ND,ND,ND,ND,,
146/21,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,3/16/2021,ND,ND,ND,ND,ND,ND,ND,,
147/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,3/16/2021,ND,ND,ND,80,ND,ND,ND,,
148/21,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,3/16/2021,ND,ND,ND,ND,ND,ND,ND,,
149/21,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,3/17/2021,ND,ND,ND,ND,ND,ND,ND,,
150/21,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,3/15/2021,ND,ND,ND,ND,ND,ND,ND,,
151/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,3/15/2021,ND,ND,ND,80,ND,ND,40,,
152/21,Swale,B076P,Swale BC,TR01316497,The Causeway,3/18/2021,ND,ND,ND,ND,ND,ND,ND,,
153/21,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,3/21/2021,ND,ND,ND,ND,ND,ND,ND,,
154/21,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,3/22/2021,ND,ND,ND,ND,ND,ND,ND,,
155/21,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,3/22/2021,ND,ND,ND,ND,ND,ND,ND,,
156/21,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,3/22/2021,ND,ND,ND,400,ND,ND,ND,,
157/21,Fal,B033E,Cornwall PHA,SW85134212,Grimes Bar,3/23/2021,ND,ND,ND,ND,ND,ND,ND,,
158/21,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,3/23/2021,ND,ND,ND,ND,ND,ND,ND,,
159/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,3/23/2021,ND,ND,ND,400,ND,ND,ND,,
160/21,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,3/23/2021,ND,ND,ND,ND,ND,ND,ND,,
161/21,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,3/23/2021,ND,ND,ND,400,ND,ND,ND,,
162/21,Percuil,B033R,Cornwall PHA,SW85853369,Percuil,3/24/2021,ND,ND,ND,ND,ND,ND,ND,,
163/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,3/24/2021,ND,80,ND,ND,ND,ND,ND,,
164/21,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,3/26/2021,ND,ND,ND,ND,ND,ND,ND,,
165/21,Conwy,B044V,Conwy CBC,SH76317972,Conwy West,3/29/2021,ND,ND,ND,600,ND,ND,ND,,
