Phytoplankton Monitoring Programme results,,,,,,,,,,,,,,,
726/21,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,9/8/2021,ND,ND,ND,160,ND,ND,ND,,
727/21,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,9/7/2021,ND,ND,ND,ND,ND,ND,ND,,
728/21,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,9/8/2021,ND,ND,ND,400,ND,ND,ND,,
729/21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,9/8/2021,ND,ND,ND,ND,ND,ND,ND,,
730/21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,9/8/2021,ND,ND,ND,ND,ND,ND,ND,,
732/21,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,9/8/2021,ND,ND,ND,ND,ND,ND,ND,,
733/21,Dee,B45AB,Flintshire CC,SJ17568056,Salisbury,9/9/2021,ND,ND,ND,400,ND,ND,ND,,
734/21,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,9/9/2021,ND,ND,ND,25800,ND,ND,ND,,
735/21,Swale,B076P,Swale BC,TR01316497,The Causeway,9/9/2021,ND,ND,ND,ND,ND,ND,ND,,
736/21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,9/13/2021,ND,480,ND,ND,ND,ND,ND,,
737/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,9/13/2021,ND,1320,ND,160,ND,ND,ND,,
738/21,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,9/13/2021,ND,ND,ND,5720,ND,ND,ND,,
739/21,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,9/14/2021,ND,ND,ND,ND,ND,ND,ND,,
740/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,9/14/2021,ND,ND,ND,ND,ND,ND,ND,,
741/21,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,9/14/2021,ND,ND,ND,1400,ND,ND,ND,,
742/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,9/13/2021,ND,80,ND,160,ND,ND,ND,,
743/21,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,9/15/2021,ND,ND,ND,ND,ND,ND,ND,,
745/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,9/15/2021,ND,160,ND,400,ND,ND,80,,
746/21,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,9/15/2021,ND,ND,ND,ND,ND,ND,ND,,
747/21,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,9/15/2021,ND,ND,ND,600,ND,ND,ND,,
748/21,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,9/15/2021,ND,ND,ND,280,ND,ND,ND,,
749/21,Poole,B54CI,"Bournemouth, Poole and Christchurch Council",SZ01818871,West Brownsea 1,9/16/2021,ND,ND,ND,400,ND,ND,ND,,
750/21,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,9/16/2021,ND,ND,ND,1800,ND,ND,ND,,
751/21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,9/20/2021,ND,240,ND,ND,ND,ND,ND,,
752/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,9/20/2021,ND,1000,ND,ND,ND,ND,ND,,
753/21,Roach,B73AF,London PHA,TQ94909207,Paglesham,9/20/2021,ND,ND,ND,400,ND,ND,100,,
754/21,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,9/20/2021,ND,ND,ND,1800,ND,ND,ND,,
755/21,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,9/21/2021,ND,ND,ND,960,ND,ND,ND,,
756/21,Burry Inlet,B038Y,Carmarthenshire CC,SS50209860,Machynys,9/21/2021,ND,ND,18520,ND,ND,ND,ND,,
757/21,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,9/21/2021,ND,ND,ND,ND,ND,ND,ND,,
758/21,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,9/20/2021,ND,ND,ND,ND,ND,ND,ND,,
759/21,Conwy,B044V,Conwy CBC,SH76317972,Conwy West,9/21/2021,ND,ND,ND,800,ND,ND,ND,,
760/21,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,9/21/2021,ND,ND,ND,ND,ND,ND,ND,,
761/21,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,9/21/2021,ND,120,ND,440,ND,ND,ND,,
762/21,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,9/21/2021,ND,ND,ND,ND,ND,ND,200,,
763/21,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,9/22/2021,ND,ND,ND,200,ND,ND,ND,,
764/21,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,9/22/2021,ND,ND,ND,ND,ND,ND,ND,,
765/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,9/22/2021,ND,ND,ND,ND,ND,ND,ND,,
766/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,9/22/2021,ND,ND,ND,400,ND,ND,ND,,
767/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,9/22/2021,ND,760,ND,80,ND,ND,ND,,
768/21,Dee,B45AB,Flintshire CC,SJ17568056,Salisbury,9/22/2021,"Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment",,
769/21,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,9/21/2021,ND,200,ND,2800,ND,ND,ND,,
770/21,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,9/21/2021,ND,ND,ND,1200,ND,ND,200,,
771/21,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,9/22/2021,ND,ND,ND,1500,ND,ND,ND,,
772/21,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,9/22/2021,ND,ND,ND,ND,ND,ND,ND,,
773/21,The Thames,B16BR,London PHA,TQ93798271,Phoenix,9/22/2021,ND,ND,ND,ND,ND,ND,ND,,
774/21,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,9/22/2021,ND,ND,ND,ND,ND,ND,ND,,
775/21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,9/22/2021,ND,ND,ND,ND,ND,ND,ND,,
776/21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,9/22/2021,ND,ND,ND,ND,ND,ND,ND,,
777/21,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,9/22/2021,ND,ND,ND,ND,ND,ND,ND,,
778/21,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,9/22/2021,ND,ND,ND,400,ND,ND,ND,,
779/21,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,9/27/2021,ND,ND,ND,ND,ND,ND,ND,,
780/21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,9/27/2021,ND,100,ND,ND,ND,ND,ND,,
781/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,9/27/2021,ND,80,ND,1080,ND,ND,ND,,
782/21,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,9/26/2021,ND,ND,ND,ND,ND,ND,ND,,
783/21,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,9/27/2021,ND,ND,ND,11160,ND,ND,ND,,
784/21,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,9/28/2021,ND,ND,ND,ND,ND,ND,ND,,
785/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,9/28/2021,ND,ND,ND,ND,ND,ND,ND,,
786/21,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,9/27/2021,ND,ND,ND,ND,ND,ND,ND,,
787/21,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,9/28/2021,ND,ND,ND,2520,ND,ND,ND,,
788/21,Dart,B028B,South Hams DC,SX87415599,Waddeton,9/28/2021,ND,ND,ND,ND,ND,ND,ND,,
789/21,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,9/28/2021,ND,ND,ND,320,ND,ND,ND,,
790/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,9/29/2021,ND,ND,ND,ND,ND,ND,ND,,
791/21,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,9/29/2021,ND,ND,ND,ND,ND,ND,ND,,
792/21,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,9/29/2021,ND,ND,ND,ND,ND,ND,ND,,
793/21,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,10/4/2021,ND,ND,ND,ND,ND,ND,ND,,
795/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,10/4/2021,ND,ND,ND,ND,ND,ND,ND,,
796/21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,10/4/2021,ND,ND,ND,ND,ND,ND,ND,,
797/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,10/4/2021,ND,ND,ND,2560,ND,ND,ND,,
798/21,Roach,B73AF,London PHA,TQ94909207,Paglesham,10/4/2021,ND,ND,ND,ND,ND,ND,ND,,
799/21,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,10/3/2021,ND,ND,100,ND,ND,ND,ND,,
800/21,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,10/4/2021,ND,ND,ND,1640,ND,ND,ND,,
801/21,Dart,B028P,South Hams DC,SX87945350,Long Wood South,10/5/2021,ND,ND,ND,ND,ND,ND,ND,,
802/21,Start Bay,B087I,South Hams DC,SX84724671,Off Strete,10/5/2021,ND,ND,ND,ND,ND,ND,ND,,
803/21,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,10/4/2021,ND,80,ND,ND,ND,ND,ND,,
804/21,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,10/4/2021,ND,ND,ND,ND,ND,ND,ND,,
805/21,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,10/6/2021,ND,ND,ND,800,ND,ND,ND,,
806/21,Porlock Relay,B094E,Somerset West and Taunton Council,SS87184778,Porlock Relay,10/6/2021,ND,ND,ND,ND,ND,ND,ND,,
807/21,Bigbury upon Avon,B030J,South Hams DC,SX67114467,South Hexdown North,10/6/2021,ND,ND,ND,ND,ND,ND,ND,,
808/21,The Thames,B16BS,London PHA,TQ88148489,West of Southend Pier,10/7/2021,ND,ND,ND,4800,ND,ND,ND,,
809/21,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,10/7/2021,ND,ND,ND,12500,ND,ND,ND,,
810/21,Langstone Harbour,B019I,Portsmouth PHA,SU70560339,Stoke Common Lake,10/6/2021,ND,ND,ND,ND,ND,ND,ND,,
811/21,Portsmouth Harbour,B020H,Portsmouth PHA,SU62850544,Paulsgrove,10/5/2021,ND,ND,ND,400,ND,ND,ND,,
812/21,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,10/11/2021,ND,ND,ND,ND,ND,ND,ND,,
813/21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,10/11/2021,ND,ND,ND,320,ND,ND,ND,,
814/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,10/11/2021,ND,40,ND,3880,ND,ND,ND,,
815/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,10/11/2021,ND,80,ND,12320,ND,ND,ND,,
816/21,Portland,B25AK,Dorset Council,SY68707757,Site A,10/11/2021,ND,240,ND,1040,ND,ND,ND,,
817/21,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,10/11/2021,ND,ND,ND,19900,ND,ND,ND,,
818/21,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,10/11/2021,ND,ND,ND,ND,ND,ND,ND,,
819/21,Fal,B033E,Cornwall PHA,SW85134212,Grimes Bar,10/12/2021,ND,ND,ND,300,ND,ND,ND,,
820/21,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,10/12/2021,ND,ND,ND,1000,ND,ND,ND,,
821/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,10/12/2021,ND,ND,ND,400,ND,ND,ND,,
822/21,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,10/12/2021,ND,ND,ND,ND,ND,ND,ND,,
823/21,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,10/12/2021,ND,ND,ND,ND,ND,ND,ND,,
824/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,10/12/2021,"Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment",,
825/21,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,10/12/2021,ND,ND,ND,39400,ND,ND,ND,,
826/21,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,10/11/2021,ND,ND,ND,ND,ND,ND,ND,,
827/21,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,10/12/2021,ND,ND,ND,160,ND,ND,ND,,
828/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,10/11/2021,ND,40,ND,ND,ND,ND,ND,,
829/21,Poole,B54CI,"Bournemouth, Poole and Christchurch Council",SZ01818871,West Brownsea 1,10/13/2021,ND,ND,ND,ND,ND,ND,ND,,
830/21,Percuil,B033R,Cornwall PHA,SW85853369,Percuil,10/13/2021,ND,ND,40,2680,ND,ND,ND,,
831/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,10/13/2021,ND,160,ND,20880,ND,ND,ND,,
832/21,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,10/13/2021,ND,ND,ND,ND,ND,ND,ND,,
833/21,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,10/13/2021,ND,ND,ND,ND,ND,ND,ND,,
835/21,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,10/12/2021,ND,200,ND,800,ND,ND,ND,,
836/21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,10/13/2021,ND,ND,ND,ND,ND,ND,ND,,
837/21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,10/13/2021,ND,ND,ND,ND,ND,ND,ND,,
838/21,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,10/18/2021,ND,ND,ND,ND,ND,ND,ND,,
839/21,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,10/18/2021,ND,ND,ND,ND,ND,ND,ND,,
841/21,Conwy,B044V,Conwy CBC,SH76317972,Conwy West,10/18/2021,ND,ND,ND,4400,ND,ND,ND,,
842/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,10/17/2021,ND,200,ND,13200,ND,ND,ND,,
843/21,Portland,B25AK,Dorset Council,SY68707757,Site A,10/18/2021,ND,ND,ND,720,ND,ND,ND,,
844/21,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,10/19/2021,ND,ND,ND,ND,ND,ND,ND,,
845/21,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,10/19/2021,ND,ND,ND,ND,ND,ND,ND,,
846/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,10/19/2021,"Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment",,
848/21,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,10/19/2021,ND,ND,ND,400,ND,ND,ND,,
849/21,Burry Inlet,B038Y,Carmarthenshire CC,SS50209860,Machynys,10/20/2021,ND,ND,17480,ND,ND,ND,ND,,
850/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,10/20/2021,ND,80,ND,4360,ND,ND,40,,
851/21,Swale,B076P,Swale BC,TR01316497,The Causeway,10/21/2021,ND,ND,ND,200,ND,ND,ND,,
852/21,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,10/25/2021,ND,ND,ND,ND,ND,ND,ND,,
853/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,10/25/2021,ND,40,ND,7080,ND,ND,ND,,
854/21,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,10/26/2021,ND,ND,ND,ND,ND,ND,ND,,
855/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,10/25/2021,ND,40,ND,ND,ND,ND,ND,,
856/21,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,10/27/2021,ND,ND,ND,ND,ND,ND,ND,,
857/21,Dee,B45AB,Flintshire CC,SJ17568056,Salisbury,10/26/2021,ND,ND,ND,ND,ND,ND,ND,,
858/21,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,11/1/2021,"Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment",,
859/21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,11/1/2021,ND,ND,ND,2400,ND,ND,ND,,
860/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,11/1/2021,ND,ND,ND,1280,ND,ND,ND,,
861/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,11/1/2021,ND,40,ND,3440,ND,ND,ND,,
862/21,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,11/1/2021,ND,ND,ND,ND,ND,ND,ND,,
863/21,Roach,B73AF,London PHA,TQ94909207,Paglesham,11/3/2021,ND,ND,ND,ND,ND,ND,ND,,
864/21,Dart,B028P,South Hams DC,SX87945350,Long Wood South,11/4/2021,ND,ND,ND,ND,ND,ND,ND,,
865/21,Start Bay,B087I,South Hams DC,SX84724671,Off Strete,11/4/2021,ND,ND,ND,240,ND,ND,ND,,
866/21,Burry Inlet,B038Y,Carmarthenshire CC,SS50209860,Machynys,11/8/2021,ND,ND,6160,ND,ND,ND,ND,,
867/21,Conwy,B044V,Conwy CBC,SH76317972,Conwy West,11/8/2021,ND,ND,ND,ND,ND,ND,ND,,
868/21,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,11/8/2021,ND,ND,ND,7900,ND,ND,ND,,
869/21,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,11/8/2021,ND,ND,ND,ND,ND,ND,ND,,
870/21,Porlock Relay,B094E,Somerset West and Taunton Council,SS87184778,Porlock Relay,11/8/2021,ND,ND,ND,ND,ND,ND,ND,,
871/21,Bigbury upon Avon,B030J,South Hams DC,SX67114467,South Hexdown North,11/8/2021,ND,ND,ND,ND,ND,ND,ND,,
872/21,The Wash,B003V,Boston BC,TF44234098,Toft,11/8/2021,ND,ND,ND,ND,ND,ND,ND,,
873/21,Poole,B54CI,"Bournemouth, Poole and Christchurch Council",SZ01818871,West Brownsea 1,11/9/2021,ND,ND,ND,ND,ND,ND,ND,,
874/21,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,11/8/2021,ND,ND,ND,ND,ND,ND,ND,,
875/21,Fal,B033E,Cornwall PHA,SW85134212,Grimes Bar,11/9/2021,ND,ND,ND,400,ND,ND,ND,,
876/21,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,11/9/2021,ND,ND,ND,400,ND,ND,ND,,
877/21,Fal (Lower),B33BW,Cornwall PHA,SW83663789,East Bank North,11/9/2021,ND,ND,ND,400,ND,ND,200,,
878/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,11/9/2021,ND,ND,ND,360,ND,ND,40,,
879/21,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,11/9/2021,ND,ND,ND,80,ND,ND,ND,,
880/21,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,11/9/2021,ND,ND,ND,ND,ND,ND,ND,,
881/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,11/9/2021,ND,ND,ND,ND,ND,ND,ND,,
882/21,The Wash,B04AP,Kings Lynn & W Norfolk BC,TF65963701,Stubborn Sand,11/8/2021,ND,ND,ND,ND,ND,ND,200,,
883/21,The Thames,B16BS,London PHA,TQ88148489,West of Southend Pier,11/9/2021,ND,ND,ND,ND,ND,ND,ND,,
884/21,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,11/9/2021,ND,ND,ND,ND,ND,ND,ND,,
885/21,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,11/9/2021,ND,ND,ND,5400,ND,ND,ND,,
886/21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,11/9/2021,ND,ND,ND,ND,ND,ND,ND,,
887/21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,11/9/2021,ND,ND,ND,ND,ND,ND,ND,,
888/21,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,11/8/2021,ND,ND,ND,400,ND,ND,ND,,
889/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,11/8/2021,ND,ND,ND,80,ND,ND,ND,,
890/21,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,11/9/2021,"Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment",,
892/21,Percuil,B033R,Cornwall PHA,SW85853369,Percuil,11/10/2021,ND,ND,ND,ND,ND,ND,200,,
893/21,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,11/9/2021,ND,ND,ND,400,ND,ND,ND,,
894/21,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,11/10/2021,ND,ND,ND,1400,ND,ND,ND,,
895/21,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,11/10/2021,ND,ND,ND,ND,ND,ND,ND,,
896/21,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,11/10/2021,ND,ND,ND,ND,ND,ND,200,,
897/21,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,11/10/2021,ND,ND,ND,240,ND,ND,ND,,
898/21,Dee,B45AB,Flintshire CC,SJ17568056,Salisbury,11/11/2021,ND,ND,ND,ND,ND,ND,ND,,
899/21,Swale,B076P,Swale BC,TR01316497,The Causeway,11/11/2021,ND,ND,ND,ND,ND,ND,ND,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Note,,,,,,,,,,,,,,,
1 = Information relating to the origin of samples (location & date of collection) is as provided by third parties and has not been verified by Cefas.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Key,,,,,,,,,,,,,,,
The trigger levels for phytoplankton samples are as follows (breach of these levels leads to requests for additional flesh and water samples):,,,,,,,,,,,,,,,
Alexandrium spp. (PSP) - 40 cells/litre,,,,,,,,,,,,,,,
Dinophysiaceae/Prorocentrum lima (DSP) - 100 cells/litre,,,,,,,,,,,,,,,
"Pseudo-nitzschia spp. (ASP) - 150,000 cells/litre",,,,,,,,,,,,,,,
Phytoplankton cell count ? trigger Level,,,,,,,,,,,,,,,
Unsuitable sample,,,,,,,,,,,,,,,
